language,algorithm,data_size,runs,average_seconds,stdev_seconds,status,verified_sorted
Python,Improved Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Selection Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Heap Sort,100000,0.563445;0.579661;0.581679;0.575288;0.547834,0.569582,0.014063,OK,True
Python,Insertion Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Shell Sort,100000,0.763581;0.841548;0.797722;0.795586;0.865660,0.812819,0.040518,OK,True
Python,Merge Sort,100000,0.445119;0.416262;0.416879;0.423697;0.423285,0.425049,0.011744,OK,True
Python,Quick Sort,100000,0.290191;0.282110;0.296181;0.321137;0.308511,0.299626,0.015406,OK,True
Python,Bucket Sort,100000,0.122412;0.117125;0.111337;0.115882;0.105807,0.114513,0.006264,OK,True
Python,Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Improved Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Selection Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Heap Sort,1000000,6.954525;7.119231;7.292142;7.378221;7.159666,7.180757,0.163409,OK,True
Python,Insertion Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Python,Shell Sort,1000000,12.483394;12.022822;12.545943;13.408781;13.196786,12.731545,0.564228,OK,True
Python,Merge Sort,1000000,5.304043;5.227977;5.613845;5.719115;5.452329,5.463462,0.205527,OK,True
Python,Quick Sort,1000000,4.098696;4.056710;4.007824;3.728176;3.712257,3.920733,0.185934,OK,True
Python,Bucket Sort,1000000,0.526628;0.546730;0.567732;0.601896;0.531042,0.554806,0.030857,OK,True
